killi_prot	gene_id	ensembl_gene_id	Human_Gene_Symbol
KAF7208768.1	G4P62_010544	ENSG00000163605	PPP4R2
KAF7208769.1	G4P62_010545	ENSG00000121440	PDZRN3
KAF7208770.1	G4P62_010545	ENSG00000121440	PDZRN3
KAF7208771.1	G4P62_010548	ENSG00000113805	CNTN3
KAF7208772.1	G4P62_010549	ENSG00000134121	CHL1
KAF7208773.1	G4P62_010549	ENSG00000134121	CHL1
KAF7208774.1	G4P62_010549	ENSG00000134121	CHL1
KAF7208775.1	G4P62_010549	ENSG00000134121	CHL1
KAF7208776.1	G4P62_010550	ENSG00000144619	CNTN4
KAF7208777.1	G4P62_010551	ENSG00000144619	CNTN4
KAF7208778.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208779.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208780.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208781.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208782.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208783.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208784.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208785.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208786.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208787.1	G4P62_010552	ENSG00000088367	EPB41L1
KAF7208788.1	G4P62_010553	ENSG00000101425	BPI
KAF7208789.1	G4P62_010554	ENSG00000101391	CDK5RAP1
KAF7208790.1	G4P62_010555	ENSG00000118702	GHRH
KAF7208791.1	G4P62_010555	ENSG00000118702	GHRH
KAF7208792.1	G4P62_010556	ENSG00000101057	MYBL2
KAF7208793.1	G4P62_010557	ENSG00000101052	IFT52
KAF7208794.1	G4P62_010558	ENSG00000101473	ACOT8
KAF7208795.1	G4P62_010561	ENSG00000171310	CHST11
KAF7208796.1	G4P62_010562	ENSG00000197763	TXNRD3
KAF7208797.1	G4P62_010562	ENSG00000197763	TXNRD3
KAF7208798.1	G4P62_010563	ENSG00000110934	BIN2
KAF7208799.1	G4P62_010563	ENSG00000110934	BIN2
KAF7208800.1	G4P62_010564	ENSG00000161638	ITGA5
KAF7208801.1	G4P62_010564	ENSG00000161638	ITGA5
KAF7208802.1	G4P62_010565	ENSG00000105976	MET
KAF7208803.1	G4P62_010566	ENSG00000164078	MST1R
KAF7208804.1	G4P62_010567	ENSG00000164077	MON1A
KAF7208805.1	G4P62_010568	ENSG00000183763	TRAIP
KAF7208806.1	G4P62_010569	ENSG00000179603	GRM8
KAF7208807.1	G4P62_010570	ENSG00000093010	COMT
KAF7208808.1	G4P62_010571	ENSG00000184343	SRPK3
KAF7208809.1	G4P62_010572	ENSG00000147144	CCDC120
KAF7208810.1	G4P62_010573	ENSG00000141644	MBD1
KAF7208811.1	G4P62_010574	ENSG00000068323	TFE3
KAF7208812.1	G4P62_010574	ENSG00000068323	TFE3
KAF7208813.1	G4P62_010574	ENSG00000068323	TFE3
KAF7208814.1	G4P62_010575	ENSG00000130119	GNL3L
KAF7208815.1	G4P62_010576	ENSG00000102076	OPN1LW
KAF7208816.1	G4P62_010577	ENSG00000102076	OPN1LW
KAF7208817.1	G4P62_010578	ENSG00000102076	OPN1LW
KAF7208818.1	G4P62_010579	ENSG00000128617	OPN1SW
KAF7208819.1	G4P62_010580	ENSG00000172534	HCFC1
KAF7208820.1	G4P62_010580	ENSG00000172534	HCFC1
KAF7208821.1	G4P62_010580	ENSG00000172534	HCFC1
KAF7208822.1	G4P62_010580	ENSG00000172534	HCFC1
KAF7208823.1	G4P62_010580	ENSG00000172534	HCFC1
KAF7208824.1	G4P62_010580	ENSG00000172534	HCFC1
KAF7208825.1	G4P62_010581	ENSG00000075785	RAB7A
KAF7208826.1	G4P62_010581	ENSG00000075785	RAB7A
KAF7208827.1	G4P62_010582	ENSG00000179348	GATA2
KAF7208828.1	G4P62_010583	ENSG00000171552	BCL2L1
KAF7208829.1	G4P62_010583	ENSG00000171552	BCL2L1
KAF7208830.1	G4P62_010584	ENSG00000101126	ADNP
KAF7208831.1	G4P62_010584	ENSG00000101126	ADNP
KAF7208832.1	G4P62_010585	ENSG00000204103	MAFB
KAF7208833.1	G4P62_010586	ENSG00000101447	FAM83D
KAF7208834.1	G4P62_010587	ENSG00000174306	ZHX3
KAF7208835.1	G4P62_010588	ENSG00000198900	TOP1
KAF7208836.1	G4P62_010589	ENSG00000083799	CYLD
KAF7208837.1	G4P62_010590	ENSG00000131067	GGT7
KAF7208838.1	G4P62_010590	ENSG00000131067	GGT7
KAF7208839.1	G4P62_010590	ENSG00000131067	GGT7
KAF7208840.1	G4P62_010591	ENSG00000019549	SNAI2
KAF7208841.1	G4P62_010592	ENSG00000025293	PHF20
KAF7208842.1	G4P62_010592	ENSG00000025293	PHF20
KAF7208843.1	G4P62_010593	ENSG00000147799	ARHGAP39
KAF7208844.1	G4P62_010593	ENSG00000147799	ARHGAP39
KAF7208845.1	G4P62_010593	ENSG00000147799	ARHGAP39
KAF7208846.1	G4P62_010593	ENSG00000147799	ARHGAP39
KAF7208847.1	G4P62_010594	ENSG00000196562	SULF2
KAF7208848.1	G4P62_010594	ENSG00000196562	SULF2
KAF7208849.1	G4P62_010595	ENSG00000125968	ID1
KAF7208850.1	G4P62_010596	ENSG00000124151	NCOA3
KAF7208851.1	G4P62_010596	ENSG00000124151	NCOA3
KAF7208852.1	G4P62_010596	ENSG00000124151	NCOA3
KAF7208853.1	G4P62_010596	ENSG00000124151	NCOA3
KAF7208854.1	G4P62_010596	ENSG00000124151	NCOA3
KAF7208855.1	G4P62_010596	ENSG00000124151	NCOA3
KAF7208856.1	G4P62_010597	ENSG00000087589	CASS4
KAF7208857.1	G4P62_010598	ENSG00000101138	CSTF1
KAF7208858.1	G4P62_010598	ENSG00000101138	CSTF1
KAF7208859.1	G4P62_010600	ENSG00000088356	PDRG1
KAF7208860.1	G4P62_010600	ENSG00000088356	PDRG1
KAF7208861.1	G4P62_010600	ENSG00000088356	PDRG1
KAF7208862.1	G4P62_010600	ENSG00000088356	PDRG1
KAF7208863.1	G4P62_010601	ENSG00000196227	FAM217B
KAF7208864.1	G4P62_010602	ENSG00000144908	ALDH1L1
KAF7208866.1	G4P62_017606	ENSG00000168291	PDHB
KAF7208867.1	G4P62_017607	ENSG00000168297	PXK
KAF7208868.1	G4P62_017607	ENSG00000168297	PXK
KAF7208869.1	G4P62_017607	ENSG00000168297	PXK
KAF7208870.1	G4P62_017607	ENSG00000168297	PXK
KAF7208871.1	G4P62_017608	ENSG00000163684	RPP14
KAF7208872.1	G4P62_017608	ENSG00000163684	RPP14
KAF7208873.1	G4P62_017617	ENSG00000168137	SETD5
KAF7208874.1	G4P62_017617	ENSG00000168137	SETD5
KAF7208875.1	G4P62_017617	ENSG00000168137	SETD5
KAF7208876.1	G4P62_017617	ENSG00000168137	SETD5
KAF7208877.1	G4P62_017618	ENSG00000163719	MTMR14
KAF7208878.1	G4P62_017618	ENSG00000163719	MTMR14
KAF7208879.1	G4P62_017623	ENSG00000070831	CDC42
KAF7208880.1	G4P62_017623	ENSG00000070831	CDC42
KAF7208881.1	G4P62_017648	ENSG00000060566	CREB3L3
KAF7208882.1	G4P62_017648	ENSG00000060566	CREB3L3
KAF7208883.1	G4P62_017659	ENSG00000178537	SLC25A20
KAF7208884.1	G4P62_017659	ENSG00000178537	SLC25A20
KAF7208885.1	G4P62_017660	ENSG00000114302	PRKAR2A
KAF7208886.1	G4P62_017661	ENSG00000065526	SPEN
KAF7208887.1	G4P62_017662	ENSG00000162458	FBLIM1
KAF7208888.1	G4P62_017663	ENSG00000162460	TMEM82
KAF7208889.1	G4P62_017664	ENSG00000162461	SLC25A34
KAF7208890.1	G4P62_017665	ENSG00000037637	FBXO42
KAF7208891.1	G4P62_017665	ENSG00000037637	FBXO42
KAF7208892.1	G4P62_017665	ENSG00000037637	FBXO42
KAF7208893.1	G4P62_017685	ENSG00000162873	KLHDC8A
KAF7208894.1	G4P62_017686	ENSG00000133065	SLC41A1
KAF7208895.1	G4P62_017803	ENSG00000138735	PDE5A
KAF7208896.1	G4P62_017803	ENSG00000138735	PDE5A
KAF7208897.1	G4P62_017804	ENSG00000164109	MAD2L1
KAF7208898.1	G4P62_017936	ENSG00000100991	TRPC4AP
KAF7208899.1	G4P62_017937	ENSG00000101082	SLA2
KAF7208900.1	G4P62_017938	ENSG00000101079	NDRG3
KAF7208901.1	G4P62_017938	ENSG00000101079	NDRG3
KAF7208902.1	G4P62_017938	ENSG00000101079	NDRG3
KAF7208903.1	G4P62_017962	ENSG00000140519	RHCG
KAF7208904.1	G4P62_017963	ENSG00000101199	ARFGAP1
KAF7208905.1	G4P62_017963	ENSG00000101199	ARFGAP1
KAF7208906.1	G4P62_017963	ENSG00000101199	ARFGAP1
KAF7208907.1	G4P62_017963	ENSG00000101199	ARFGAP1
KAF7208908.1	G4P62_017963	ENSG00000101199	ARFGAP1
KAF7208909.1	G4P62_017963	ENSG00000101199	ARFGAP1
KAF7208910.1	G4P62_017963	ENSG00000101199	ARFGAP1
KAF7208911.1	G4P62_017964	ENSG00000062598	ELMO2
KAF7208912.1	G4P62_017964	ENSG00000062598	ELMO2
KAF7208913.1	G4P62_017964	ENSG00000062598	ELMO2
KAF7208914.1	G4P62_017965	ENSG00000170382	LRRN2
KAF7208915.1	G4P62_017966	ENSG00000184144	CNTN2
KAF7208916.1	G4P62_017999	ENSG00000117266	CDK18
KAF7208917.1	G4P62_018035	ENSG00000163618	CADPS
KAF7208918.1	G4P62_018100	ENSG00000164050	PLXNB1
KAF7208919.1	G4P62_018164	ENSG00000154764	WNT7A
KAF7208920.1	G4P62_018200	ENSG00000135341	MAP3K7
KAF7208921.1	G4P62_018200	ENSG00000135341	MAP3K7
KAF7208922.1	G4P62_018201	ENSG00000112182	BACH2
KAF7208923.1	G4P62_018202	ENSG00000288435	GJA10
KAF7208924.1	G4P62_018203	ENSG00000288475	CASP8AP2
KAF7208925.1	G4P62_018203	ENSG00000118412	CASP8AP2
KAF7208926.1	G4P62_018204	ENSG00000135299	ANKRD6
KAF7208927.1	G4P62_018204	ENSG00000135299	ANKRD6
KAF7208928.1	G4P62_018204	ENSG00000135299	ANKRD6
KAF7208929.1	G4P62_018205	ENSG00000111886	GABRR2
KAF7208930.1	G4P62_018206	ENSG00000198833	UBE2J1
KAF7208931.1	G4P62_018206	ENSG00000198833	UBE2J1
KAF7208932.1	G4P62_018207	ENSG00000153989	NUS1
KAF7208933.1	G4P62_018208	ENSG00000111897	SERINC1
KAF7208934.1	G4P62_018209	ENSG00000121743	GJA3
KAF7208935.1	G4P62_018210	ENSG00000121634	GJA8
KAF7208936.1	G4P62_018211	ENSG00000152661	GJA1
KAF7208937.1	G4P62_018212	ENSG00000051180	RAD51
KAF7208938.1	G4P62_018213	ENSG00000137824	RMDN3
KAF7208939.1	G4P62_018214	ENSG00000159251	ACTC1
KAF7208940.1	G4P62_018215	ENSG00000213204	
KAF7208941.1	G4P62_018215	ENSG00000213204	
KAF7208942.1	G4P62_018216	ENSG00000047932	GOPC
KAF7208943.1	G4P62_018216	ENSG00000047932	GOPC
KAF7208944.1	G4P62_018216	ENSG00000047932	GOPC
KAF7208945.1	G4P62_018217	ENSG00000156381	ANKRD9
KAF7208946.1	G4P62_018218	ENSG00000188994	ZNF292
KAF7208947.1	G4P62_018219	ENSG00000116906	GNPAT
KAF7208948.1	G4P62_018220	ENSG00000219626	FAM228B
KAF7208949.1	G4P62_018220	ENSG00000219626	FAM228B
KAF7208950.1	G4P62_018221	ENSG00000198399	ITSN2
KAF7208951.1	G4P62_018221	ENSG00000198399	ITSN2
KAF7208952.1	G4P62_018221	ENSG00000198399	ITSN2
KAF7208953.1	G4P62_018221	ENSG00000198399	ITSN2
KAF7208954.1	G4P62_018221	ENSG00000198399	ITSN2
KAF7208955.1	G4P62_018222	ENSG00000079785	DDX1
KAF7208956.1	G4P62_018223	ENSG00000162981	LRATD1
KAF7208957.1	G4P62_018462	ENSG00000135333	EPHA7
KAF7208958.1	G4P62_018554	ENSG00000178425	NT5DC1
KAF7208959.1	G4P62_018555	ENSG00000111817	DSE
KAF7208960.1	G4P62_018556	ENSG00000123545	NDUFAF4
KAF7208961.1	G4P62_018557	ENSG00000112218	GPR63
KAF7208962.1	G4P62_018789	ENSG00000018869	ZNF582
KAF7208963.1	G4P62_018790	ENSG00000163531	NFASC
KAF7208964.1	G4P62_018797	ENSG00000087495	PHACTR3
KAF7208965.1	G4P62_018871	ENSG00000254470	AP5B1
KAF7208966.1	G4P62_018872	ENSG00000243710	CFAP57
KAF7208967.1	G4P62_018873	ENSG00000177646	ACAD9
KAF7208968.1	G4P62_018874	ENSG00000158079	PTPDC1
KAF7208969.1	G4P62_018943	ENSG00000164050	PLXNB1
KAF7208972.1	G4P62_018955	ENSG00000139163	ETNK1
KAF7208973.1	G4P62_018956	ENSG00000143842	SOX13
KAF7208974.1	G4P62_019137	ENSG00000143217	NECTIN4
KAF7208975.1	G4P62_019137	ENSG00000143217	NECTIN4
KAF7208976.1	G4P62_019137	ENSG00000143217	NECTIN4
KAF7208977.1	G4P62_019138	ENSG00000167770	OTUB1
KAF7208978.1	G4P62_019139	ENSG00000214756	CSKMT
KAF7208979.1	G4P62_019139	ENSG00000214756	CSKMT
KAF7208980.1	G4P62_019140	ENSG00000226660	TRBV2
KAF7208981.1	G4P62_019141	ENSG00000226660	TRBV2
KAF7208982.1	G4P62_019142	ENSG00000282568	TRBV2
KAF7208983.1	G4P62_019143	ENSG00000211798	TRAV18
KAF7208984.1	G4P62_019148	ENSG00000196878	LAMB3
KAF7208985.1	G4P62_019221	ENSG00000153266	FEZF2
KAF7208986.1	G4P62_019222	ENSG00000114541	FRMD4B
KAF7208987.1	G4P62_019238	ENSG00000104976	SNAPC2
KAF7208988.1	G4P62_019242	ENSG00000090686	USP48
KAF7208989.1	G4P62_019242	ENSG00000090686	USP48
KAF7208990.1	G4P62_019242	ENSG00000090686	USP48
KAF7208992.1	G4P62_019412	ENSG00000136010	ALDH1L2
KAF7208993.1	G4P62_019413	ENSG00000197123	ZNF679
KAF7208994.1	G4P62_019423	ENSG00000160233	LRRC3
KAF7208995.1	G4P62_019425	ENSG00000273274	ZBTB8B
KAF7208996.1	G4P62_019426	ENSG00000179163	FUCA1
KAF7208997.1	G4P62_019467	ENSG00000144785	
KAF7208998.1	G4P62_019468	ENSG00000090686	USP48
KAF7208999.1	G4P62_019520	ENSG00000117385	P3H1
KAF7209000.1	G4P62_019542	ENSG00000163435	ELF3
KAF7209001.1	G4P62_019563	ENSG00000135299	ANKRD6
KAF7209002.1	G4P62_019564	ENSG00000083099	LYRM2
KAF7209003.1	G4P62_019564	ENSG00000083099	LYRM2
KAF7209004.1	G4P62_019657	ENSG00000070886	EPHA8
KAF7209005.1	G4P62_019665	ENSG00000163618	CADPS
KAF7209006.1	G4P62_019700	ENSG00000090686	USP48
KAF7209007.1	G4P62_019714	ENSG00000197724	PHF2
KAF7209008.1	G4P62_019806	ENSG00000184144	CNTN2
KAF7209009.1	G4P62_019856	ENSG00000115415	STAT1
KAF7209010.1	G4P62_019862	ENSG00000158079	PTPDC1
KAF7209011.1	G4P62_019885	ENSG00000144554	FANCD2
KAF7209012.1	G4P62_019885	ENSG00000144554	FANCD2
KAF7209013.1	G4P62_019886	ENSG00000141378	PTRH2
KAF7209014.1	G4P62_019886	ENSG00000141378	PTRH2
KAF7209015.1	G4P62_019886	ENSG00000141378	PTRH2
KAF7209016.1	G4P62_019887	ENSG00000070476	ZXDC
KAF7209017.1	G4P62_019917	ENSG00000167984	NLRC3
KAF7209018.1	G4P62_019918	ENSG00000159147	DONSON
KAF7209019.1	G4P62_019918	ENSG00000159147	DONSON
KAF7209020.1	G4P62_019918	ENSG00000159147	DONSON
KAF7209021.1	G4P62_019968	ENSG00000162552	WNT4
KAF7209022.1	G4P62_019993	ENSG00000132824	SERINC3
KAF7209023.1	G4P62_020053	ENSG00000122966	CIT
KAF7209024.1	G4P62_020054	ENSG00000100053	CRYBB3
KAF7209025.1	G4P62_020055	ENSG00000197077	KIAA1671
KAF7209026.1	G4P62_020056	ENSG00000175970	UNC119B
KAF7209027.1	G4P62_020094	ENSG00000116661	FBXO2
KAF7209028.1	G4P62_020095	ENSG00000177868	SVBP
KAF7209029.1	G4P62_020095	ENSG00000177868	SVBP
KAF7209030.1	G4P62_020164	ENSG00000184144	CNTN2
KAF7209031.1	G4P62_020201	ENSG00000106366	SERPINE1
KAF7209032.1	G4P62_020202	ENSG00000106367	AP1S1
KAF7209033.1	G4P62_020203	ENSG00000128564	VGF
KAF7209034.1	G4P62_020203	ENSG00000128564	VGF
KAF7209035.1	G4P62_020203	ENSG00000128564	VGF
KAF7209036.1	G4P62_020210	ENSG00000163618	CADPS
KAF7209037.1	G4P62_020228	ENSG00000196878	LAMB3
KAF7209038.1	G4P62_002243	ENSG00000134207	SYT6
KAF7209039.1	G4P62_002244	ENSG00000116774	OLFML3
KAF7209040.1	G4P62_002245	ENSG00000184163	C1QTNF12
KAF7209041.1	G4P62_002246	ENSG00000078808	SDF4
KAF7209042.1	G4P62_002247	ENSG00000163349	HIPK1
KAF7209043.1	G4P62_002248	ENSG00000131584	ACAP3
KAF7209044.1	G4P62_002248	ENSG00000131584	ACAP3
KAF7209045.1	G4P62_002248	ENSG00000131584	ACAP3
KAF7209046.1	G4P62_003523	ENSG00000101452	DHX35
KAF7209048.1	G4P62_011363	ENSG00000101336	HCK
KAF7209049.1	G4P62_011364	ENSG00000101337	TM9SF4
KAF7209050.1	G4P62_011365	ENSG00000126003	PLAGL2
KAF7209051.1	G4P62_013268	ENSG00000149639	SOGA1
KAF7209052.1	G4P62_013269	ENSG00000130703	OSBPL2
KAF7209053.1	G4P62_013270	ENSG00000130706	ADRM1
KAF7209054.1	G4P62_013271	ENSG00000149679	CABLES2
KAF7209055.1	G4P62_013271	ENSG00000149679	CABLES2
KAF7209056.1	G4P62_013272	ENSG00000260903	XKR7
KAF7209057.1	G4P62_013273	ENSG00000127314	RAP1B
KAF7209058.1	G4P62_013965	ENSG00000187730	GABRD
KAF7209059.1	G4P62_013966	ENSG00000142609	CFAP74
KAF7209060.1	G4P62_013967	ENSG00000078369	GNB1
KAF7209061.1	G4P62_013967	ENSG00000078369	GNB1
KAF7209062.1	G4P62_013967	ENSG00000078369	GNB1
KAF7209063.1	G4P62_013968	ENSG00000008130	NADK
KAF7209065.1	G4P62_013970	ENSG00000189339	SLC35E2B
KAF7209066.1	G4P62_013971	ENSG00000162241	SLC25A45
KAF7209067.1	G4P62_013972	ENSG00000116670	MAD2L2
KAF7209068.1	G4P62_013973	ENSG00000162460	TMEM82
KAF7209069.1	G4P62_013974	ENSG00000065526	SPEN
KAF7209070.1	G4P62_013974	ENSG00000065526	SPEN
KAF7209071.1	G4P62_013974	ENSG00000065526	SPEN
KAF7209072.1	G4P62_013974	ENSG00000065526	SPEN
KAF7209073.1	G4P62_013975	ENSG00000142627	EPHA2
KAF7209074.1	G4P62_013976	ENSG00000185519	FAM131C
KAF7209075.1	G4P62_013976	ENSG00000185519	FAM131C
KAF7209076.1	G4P62_013977	ENSG00000173641	HSPB7
KAF7209077.1	G4P62_013978	ENSG00000116809	ZBTB17
KAF7209078.1	G4P62_013979	ENSG00000244038	DDOST
KAF7209079.1	G4P62_013980	ENSG00000116786	PLEKHM2
KAF7209080.1	G4P62_013980	ENSG00000116786	PLEKHM2
KAF7209081.1	G4P62_013981	ENSG00000146205	ANO7
KAF7209082.1	G4P62_013981	ENSG00000146205	ANO7
KAF7209083.1	G4P62_013982	ENSG00000142632	ARHGEF19
KAF7209084.1	G4P62_013982	ENSG00000142632	ARHGEF19
KAF7209085.1	G4P62_013983	ENSG00000187583	PLEKHN1
KAF7209086.1	G4P62_013984	ENSG00000162571	TTLL10
KAF7209087.1	G4P62_013985	ENSG00000197530	MIB2
KAF7209088.1	G4P62_013985	ENSG00000197530	MIB2
KAF7209089.1	G4P62_013985	ENSG00000197530	MIB2
KAF7209090.1	G4P62_013985	ENSG00000197530	MIB2
KAF7209091.1	G4P62_013986	ENSG00000120942	UBIAD1
KAF7209092.1	G4P62_013987	ENSG00000189409	MMP23B
KAF7209093.1	G4P62_013987	ENSG00000189409	MMP23B
KAF7209094.1	G4P62_013988	ENSG00000248333	CDK11B
KAF7209095.1	G4P62_013988	ENSG00000248333	CDK11B
KAF7209096.1	G4P62_013988	ENSG00000248333	CDK11B
KAF7209097.1	G4P62_013988	ENSG00000248333	CDK11B
KAF7209098.1	G4P62_013988	ENSG00000248333	CDK11B
KAF7209099.1	G4P62_013989	ENSG00000055070	SZRD1
KAF7209100.1	G4P62_013990	ENSG00000127314	RAP1B
KAF7209101.1	G4P62_013990	ENSG00000127314	RAP1B
KAF7209102.1	G4P62_013990	ENSG00000127314	RAP1B
KAF7209103.1	G4P62_013990	ENSG00000127314	RAP1B
KAF7209104.1	G4P62_013991	ENSG00000169860	P2RY1
KAF7209105.1	G4P62_013992	ENSG00000169860	P2RY1
KAF7209106.1	G4P62_013993	ENSG00000118523	CCN2
KAF7209107.1	G4P62_013994	ENSG00000196839	ADA
KAF7209108.1	G4P62_013995	ENSG00000168734	PKIG
KAF7209109.1	G4P62_013995	ENSG00000168734	PKIG
KAF7209110.1	G4P62_013996	ENSG00000124120	TTPAL
KAF7209111.1	G4P62_013997	ENSG00000101076	HNF4A
KAF7209112.1	G4P62_013998	ENSG00000167552	TUBA1A
KAF7209113.1	G4P62_013999	ENSG00000123416	TUBA1B
KAF7209114.1	G4P62_014000	ENSG00000185664	PMEL
KAF7209115.1	G4P62_014000	ENSG00000185664	PMEL
KAF7209116.1	G4P62_014001	ENSG00000205323	SARNP
KAF7209117.1	G4P62_014001	ENSG00000205323	SARNP
KAF7209118.1	G4P62_014002	ENSG00000072506	HSD17B10
KAF7209119.1	G4P62_014003	ENSG00000184083	FAM120C
KAF7209120.1	G4P62_014003	ENSG00000184083	FAM120C
KAF7209121.1	G4P62_014004	ENSG00000166148	AVPR1A
KAF7209122.1	G4P62_014005	ENSG00000155380	SLC16A1
KAF7209123.1	G4P62_014005	ENSG00000155380	SLC16A1
KAF7209124.1	G4P62_014006	ENSG00000064999	ANKS1A
KAF7209125.1	G4P62_014006	ENSG00000064999	ANKS1A
KAF7209126.1	G4P62_014006	ENSG00000064999	ANKS1A
KAF7209127.1	G4P62_014006	ENSG00000064999	ANKS1A
KAF7209128.1	G4P62_014006	ENSG00000064999	ANKS1A
KAF7209129.1	G4P62_014006	ENSG00000064999	ANKS1A
KAF7209130.1	G4P62_014006	ENSG00000064999	ANKS1A
KAF7209131.1	G4P62_014007	ENSG00000166908	PIP4K2C
KAF7209132.1	G4P62_014007	ENSG00000166908	PIP4K2C
KAF7209133.1	G4P62_014008	ENSG00000167779	IGFBP6
KAF7209134.1	G4P62_014009	ENSG00000167778	SPRYD3
KAF7209135.1	G4P62_014009	ENSG00000167778	SPRYD3
KAF7209136.1	G4P62_014010	ENSG00000135404	CD63
KAF7209137.1	G4P62_014011	ENSG00000050426	LETMD1
KAF7209138.1	G4P62_014012	ENSG00000170627	GTSF1
KAF7209139.1	G4P62_014012	ENSG00000170627	GTSF1
KAF7209140.1	G4P62_014012	ENSG00000170627	GTSF1
KAF7209141.1	G4P62_014012	ENSG00000170627	GTSF1
KAF7209142.1	G4P62_014012	ENSG00000170627	GTSF1
KAF7209143.1	G4P62_014013	ENSG00000123358	NR4A1
KAF7209144.1	G4P62_014014	ENSG00000161835	TAMALIN
KAF7209145.1	G4P62_014014	ENSG00000161835	TAMALIN
KAF7209146.1	G4P62_014015	ENSG00000065357	DGKA
KAF7209147.1	G4P62_014016	ENSG00000181852	RNF41
KAF7209148.1	G4P62_014017	ENSG00000139645	ANKRD52
KAF7209149.1	G4P62_014018	ENSG00000135469	COQ10A
KAF7209150.1	G4P62_014019	ENSG00000062485	CS
KAF7209151.1	G4P62_014020	ENSG00000175497	DPP10
KAF7209152.1	G4P62_014020	ENSG00000175497	DPP10
KAF7209153.1	G4P62_014021	ENSG00000161800	RACGAP1
KAF7209154.1	G4P62_014021	ENSG00000161800	RACGAP1
KAF7209155.1	G4P62_014021	ENSG00000161800	RACGAP1
KAF7209157.1	G4P62_014023	ENSG00000110934	BIN2
KAF7209158.1	G4P62_014023	ENSG00000110934	BIN2
KAF7209159.1	G4P62_014024	ENSG00000175161	CADM2
KAF7209160.1	G4P62_014025	ENSG00000183283	DAZAP2
KAF7209161.1	G4P62_014026	ENSG00000184271	POU6F1
KAF7209162.1	G4P62_014027	ENSG00000135457	TFCP2
KAF7209163.1	G4P62_014027	ENSG00000135457	TFCP2
KAF7209164.1	G4P62_014028	ENSG00000110925	CSRNP2
KAF7209165.1	G4P62_014028	ENSG00000110925	CSRNP2
KAF7209166.1	G4P62_014029	ENSG00000161638	ITGA5
KAF7209167.1	G4P62_014030	ENSG00000079337	RAPGEF3
KAF7209168.1	G4P62_014030	ENSG00000079337	RAPGEF3
KAF7209169.1	G4P62_014030	ENSG00000079337	RAPGEF3
KAF7209170.1	G4P62_014030	ENSG00000079337	RAPGEF3
KAF7209171.1	G4P62_014031	ENSG00000211584	SLC48A1
KAF7209172.1	G4P62_014031	ENSG00000211584	SLC48A1
KAF7209173.1	G4P62_014032	ENSG00000284730	TMDD1
KAF7209174.1	G4P62_014032	ENSG00000284730	TMDD1
KAF7209175.1	G4P62_014032	ENSG00000284730	TMDD1
KAF7209176.1	G4P62_014033	ENSG00000076356	PLXNA2
KAF7209177.1	G4P62_014034	ENSG00000174059	CD34
KAF7209178.1	G4P62_014035	ENSG00000123838	C4BPA
KAF7209179.1	G4P62_014036	ENSG00000117335	CD46
KAF7209180.1	G4P62_014037	ENSG00000196352	CD55
KAF7209181.1	G4P62_014038	ENSG00000081019	RSBN1
KAF7209182.1	G4P62_014039	ENSG00000081026	MAGI3
KAF7209183.1	G4P62_014040	ENSG00000274386	TMEM269
KAF7209184.1	G4P62_014040	ENSG00000274386	TMEM269
KAF7209185.1	G4P62_014040	ENSG00000274386	TMEM269
KAF7209186.1	G4P62_014041	ENSG00000142798	HSPG2
KAF7209187.1	G4P62_014042	ENSG00000116771	AGMAT
KAF7209188.1	G4P62_014043	ENSG00000123416	TUBA1B
KAF7209189.1	G4P62_014044	ENSG00000158828	PINK1
KAF7209190.1	G4P62_014045	ENSG00000010438	PRSS3
KAF7209191.1	G4P62_014046	ENSG00000274247	PRSS1
KAF7209192.1	G4P62_014047	ENSG00000183114	FAM43B
KAF7209193.1	G4P62_014048	ENSG00000090432	MUL1
KAF7209194.1	G4P62_014048	ENSG00000090432	MUL1
KAF7209195.1	G4P62_014049	ENSG00000157349	DDX19B
KAF7209196.1	G4P62_014050	ENSG00000224051	CPTP
KAF7209197.1	G4P62_014051	ENSG00000127054	INTS11
KAF7209198.1	G4P62_014052	ENSG00000169860	P2RY1
KAF7209199.1	G4P62_014057	ENSG00000162413	KLHL21
KAF7209200.1	G4P62_014058	ENSG00000204859	ZBTB48
KAF7209201.1	G4P62_014059	ENSG00000162408	NOL9
KAF7209202.1	G4P62_014059	ENSG00000162408	NOL9
KAF7209203.1	G4P62_014059	ENSG00000162408	NOL9
KAF7209204.1	G4P62_014060	ENSG00000171680	PLEKHG5
KAF7209205.1	G4P62_014060	ENSG00000171680	PLEKHG5
KAF7209206.1	G4P62_014060	ENSG00000171680	PLEKHG5
KAF7209207.1	G4P62_014060	ENSG00000171680	PLEKHG5
KAF7209208.1	G4P62_014060	ENSG00000171680	PLEKHG5
KAF7209209.1	G4P62_014061	ENSG00000170549	IRX1
KAF7209210.1	G4P62_014062	ENSG00000101017	CD40
KAF7209211.1	G4P62_014062	ENSG00000101017	CD40
